station_name,latitude,longitude,zone,lines
Paddington,51.5174,-0.1756,1,"Bakerloo, Circle, District, Hammersmith & City"
Piccadilly Circus,51.5101,-0.1342,1,"Bakerloo, Piccadilly"
Pimlico,51.4891,-0.1334,1,Victoria
Queensway,51.5107,-0.1877,1,Central
Regent's Park,51.5234,-0.1466,1,Bakerloo
Russell Square,51.5230,-0.1244,1,Piccadilly
South Kensington,51.4941,-0.1738,1,"Circle, District, Piccadilly"
Southwark,51.5039,-0.1000,1,Jubilee
St. Paul's,51.5149,-0.0974,1,Central
Temple,51.5111,-0.1141,1,"Circle, District"
Tottenham Court Road,51.5165,-0.1310,1,"Central, Northern"
Tower Hill,51.5098,-0.0766,1,"Circle, District"
Vauxhall,51.4862,-0.1243,1,Victoria
Victoria,51.4965,-0.1447,1,"Circle, District, Victoria"
Westminster,51.5014,-0.1249,1,"Circle, District, Jubilee"
Archway,51.5654,-0.1348,2,Northern
Arsenal,51.5592,-0.1311,2,Piccadilly
Bermondsey,51.4979,-0.0639,2,Jubilee
Bethnal Green,51.5273,-0.0549,2,Central
Brixton,51.4627,-0.1149,2,Victoria
Camden Town,51.5392,-0.1426,2,Northern
Canary Wharf,51.5048,-0.0184,2,Jubilee
Clapham Common,51.4618,-0.1381,2,Northern
Finsbury Park,51.5642,-0.1064,2,"Piccadilly, Victoria"
Greenwich,51.4781,-0.0148,2,Jubilee
Hammersmith,51.4936,-0.2241,2,"District, Piccadilly, Hammersmith & City, Circle"
Highbury & Islington,51.5463,-0.1028,2,Victoria
Mile End,51.5253,-0.0335,2,"Central, District, Hammersmith & City"
North Greenwich,51.5003,0.0038,2,Jubilee
Shepherd's Bush,51.5044,-0.2184,2,Central
Stockwell,51.4722,-0.1230,2,"Northern, Victoria"
Stratford,51.5417,-0.0030,2,"Central, Jubilee"
Whitechapel,51.5194,-0.0601,2,"District, Hammersmith & City"
Willesden Green,51.5491,-0.2214,2,Jubilee
Balham,51.4431,-0.1527,3,Northern
Canning Town,51.5138,0.0081,3,Jubilee
Ealing Broadway,51.5149,-0.3015,3,"Central, District"
East Ham,51.5391,0.0518,3,"District, Hammersmith & City"
Golders Green,51.5724,-0.1993,3,Northern
Highgate,51.5775,-0.1469,3,Northern
Seven Sisters,51.5834,-0.0726,3,Victoria
Tooting Broadway,51.4276,-0.1683,3,Northern
Walthamstow Central,51.5829,-0.0210,3,Victoria
Wimbledon,51.4214,-0.2064,3,District
Acton Town,51.5030,-0.2803,3,"District, Piccadilly"
Bounds Green,51.6068,-0.1243,3,Piccadilly
Barking,51.5395,0.0808,4,"District, Hammersmith & City"
Wembley Park,51.5635,-0.2795,4,"Jubilee, Metropolitan"
Richmond,51.4632,-0.3016,4,District
Hounslow Central,51.4713,-0.3665,4,Piccadilly
Gants Hill,51.5765,0.0661,4,Central
Southall,51.5061,-0.3781,4,Central
Alperton,51.5407,-0.2995,4,Piccadilly
Arnos Grove,51.6164,-0.1331,4,Piccadilly
Boston Manor,51.4956,-0.3250,4,Piccadilly
Chigwell,51.6178,0.0753,4,Central
Finchley Central,51.6011,-0.1927,4,Northern
Hainault,51.6084,0.0931,4,Central
Hendon Central,51.5831,-0.2268,4,Northern
Morden,51.4022,-0.1948,4,Northern
Osterley,51.4815,-0.3518,4,Piccadilly
Southgate,51.6323,-0.1278,4,Piccadilly
Wembley Central,51.5488,-0.2965,4,Bakerloo
High Barnet,51.6508,-0.1942,5,Northern
Harrow-on-the-Hill,51.5794,-0.3538,5,Metropolitan
Stanmore,51.6195,-0.3023,5,Jubilee
Cockfosters,51.6517,-0.1495,5,Piccadilly
Edgware,51.6135,-0.2749,5,Northern
Rayners Lane,51.5752,-0.3712,5,"Metropolitan, Piccadilly"
Epping,51.6937,0.1139,6,Central
Romford,51.5744,0.1838,6,Central
Uxbridge,51.5463,-0.4782,6,"Metropolitan, Piccadilly"
Heathrow Terminals 2 & 3,51.4713,-0.4526,6,Piccadilly
Upminster,51.5591,0.2510,6,District
Loughton,51.6416,0.0541,6,Central
Amersham,51.6741,-0.6076,9,Metropolitan
Chesham,51.7052,-0.6111,9,Metropolitan
Watford,51.6575,-0.4177,7,Metropolitan
Croxley,51.6470,-0.4416,7,Metropolitan
Rickmansworth,51.6403,-0.4731,7,Metropolitan
Moor Park,51.6298,-0.4320,6,"Metropolitan"
Northwood,51.6111,-0.4241,6,Metropolitan
Northwood Hills,51.6002,-0.4093,6,Metropolitan
Pinner,51.5928,-0.3804,5,Metropolitan
North Harrow,51.5851,-0.3622,5,Metropolitan
Chorleywood,51.6542,-0.5183,7,Metropolitan
Chalfont & Latimer,51.6685,-0.5606,8,Metropolitan
Theydon Bois,51.6718,0.1031,6,Central
Debden,51.6443,0.0839,6,Central
Buckhurst Hill,51.6264,0.0469,5,Central
Woodford,51.6070,0.0342,4,Central
South Woodford,51.5918,0.0274,4,Central
Snaresbrook,51.5807,0.0215,4,Central
Leytonstone,51.5684,0.0087,3,Central
Leyton,51.5568,-0.0085,3,Central
Wanstead,51.5756,0.0284,4,Central
Redbridge,51.5762,0.0454,4,Central
Newbury Park,51.5755,0.0898,4,Central
Barkingside,51.5858,0.0963,4,Central
Fairlop,51.5956,0.0911,4,Central
Grange Hill,51.6133,0.0921,4,Central
Roding Valley,51.6171,0.0435,4,Central
Stanmore,51.6195,-0.3023,5,Jubilee
Canons Park,51.6078,-0.2947,5,Jubilee
Queensbury,51.5943,-0.2861,4,Jubilee
Kingsbury,51.5847,-0.2737,4,Jubilee
Neasden,51.5536,-0.2505,3,Jubilee
Dollis Hill,51.5520,-0.2389,3,Jubilee
Willesden Green,51.5491,-0.2214,2,Jubilee
Kilburn,51.5468,-0.2044,2,Jubilee
West Hampstead,51.5468,-0.1899,2,Jubilee
Swiss Cottage,51.5435,-0.1751,2,Jubilee
St. John's Wood,51.5347,-0.1741,2,Jubilee
High Barnet,51.6508,-0.1942,5,Northern
Totteridge & Whetstone,51.6306,-0.1795,4,Northern
Woodside Park,51.6181,-0.1793,4,Northern
West Finchley,51.6097,-0.1884,4,Northern
East Finchley,51.5873,-0.1650,3,Northern
Highgate,51.5775,-0.1469,3,Northern
Mill Hill East,51.6084,-0.2101,4,Northern
Edgware,51.6135,-0.2749,5,Northern
Burnt Oak,51.6028,-0.2639,4,Northern
Colindale,51.5954,-0.2500,4,Northern
Hendon Central,51.5831,-0.2268,4,Northern
Brent Cross,51.5767,-0.2137,3,Northern
Golders Green,51.5724,-0.1993,3,Northern
Hampstead,51.5568,-0.1782,2,Northern
Belsize Park,51.5504,-0.1642,2,Northern
Chalk Farm,51.5441,-0.1539,2,Northern
